year,revenue,net_income,total_assets,total_liabilities
1995,7.2,152,,
1996,8.4,146,,
1997,10.0,154,,
1998,11.4,169,,
1999,15.0,230,,
2000,22.5,482,,
2001,32.4,581,,
2002,46.7,922,,
2003,59.2,895,,
2004,48.9,846,,
2005,59.2,879,,
2003,43.3,,,
2003,47.6,,,
2006,60.8,,,
2007,75.7,,,
2008,79.4,,,
2009,75.7,,,
2010,74.5,,,
2011,156.9,,,
2012,152.1,,,
2013,157.7,,,
2014,156.2,,,
2015,219.8,,,
2016,233.8,,,
2017,238.3,,,
2018,252.0,,,
2019,248.8,,,
2020,278.5,,,
2021,309.8,,,
2022,,,,
2023,,,,
